Genome	Strain	Culture collection #	taxon_oid	Sequencing Technology	Assembly Method	Sequencing Depth (fold coverage)	CheckM Completeness (%)	Genome Size (bp)	Gene Count 	CDS Count   	Coding Base Count %   	GC   	COG Count   	KO Count	Pfam Count	TIGRfam Count	With Function Prediction %	Scaffold Count	HunTitle	BioProject	BioSample	Tax ID	GenBank FTP	GenBank Assembly	GenBank Accession	GenBank FTP	Genbank assembly file	RefSeq FTP	RefSeq Assembly	RefSeq accession	RefSeq FTP	RefSeq Assembly file
Lactobacillus mucosae	WCC8		2654588121	Illumina HiSeq	vpAllpaths v. r46652	335.923	99.18	1880668	1901	1822	86.92	0.47	1326	1092	1544	727	78.8	39	Lactobacillus mucosae WCC8 	PRJEB17416	SAMN05216461	97478	[GCA_900114225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/225/GCA_900114225.1_IMG-taxon_2654588122_annotated_assembly)	[GCA_900114225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/225/GCA_900114225.1_IMG-taxon_2654588122_annotated_assembly/GCA_900114225.1_IMG-taxon_2654588122_annotated_assembly_genomic.fna.gz)	GCA_900114225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/225/GCA_900114225.1_IMG-taxon_2654588122_annotated_assembly	GCA_900114225.1_IMG-taxon_2654588122_annotated_assembly_genomic.fna.gz	[GCF_900114225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/225/GCF_900114225.1_IMG-taxon_2654588122_annotated_assembly)	[GCF_900114225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/225/GCF_900114225.1_IMG-taxon_2654588122_annotated_assembly/GCF_900114225.1_IMG-taxon_2654588122_annotated_assembly_genomic.fna.gz)	GCF_900114225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/225/GCF_900114225.1_IMG-taxon_2654588122_annotated_assembly	GCF_900114225.1_IMG-taxon_2654588122_annotated_assembly_genomic.fna.gz
Porphyromonadaceae bacterium	KH3CP3RA		2651870357	Illumina HiSeq	vpAllpaths v. r46652	415.169	100	4929248	4063	4005	90.23	0.43	2097	1479	3129	1045	71.62	47	Porphyromonadaceae bacterium KH3CP3RA 	PRJEB17430	SAMN05216357	1855396	[GCA_900114365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/365/GCA_900114365.1_IMG-taxon_2651870357_annotated_assembly)	[GCA_900114365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/365/GCA_900114365.1_IMG-taxon_2651870357_annotated_assembly/GCA_900114365.1_IMG-taxon_2651870357_annotated_assembly_genomic.fna.gz)	GCA_900114365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/365/GCA_900114365.1_IMG-taxon_2651870357_annotated_assembly	GCA_900114365.1_IMG-taxon_2651870357_annotated_assembly_genomic.fna.gz	[GCF_900114365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/365/GCF_900114365.1_IMG-taxon_2651870357_annotated_assembly)	[GCF_900114365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/365/GCF_900114365.1_IMG-taxon_2651870357_annotated_assembly/GCF_900114365.1_IMG-taxon_2651870357_annotated_assembly_genomic.fna.gz)	GCF_900114365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/365/GCF_900114365.1_IMG-taxon_2651870357_annotated_assembly	GCF_900114365.1_IMG-taxon_2651870357_annotated_assembly_genomic.fna.gz
Lachnospiraceae bacterium	KH1T2		2654588176	Illumina HiSeq	vpAllpaths v. r46652	443.261	98.55	3871245	3493	3405	89.99	0.39	2049	1566	2684	961	73.15	63	Lachnospiraceae bacterium KH1T2 	PRJEB17434	SAMN05216390	1855374	[GCA_900114405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/405/GCA_900114405.1_IMG-taxon_2654588176_annotated_assembly)	[GCA_900114405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/405/GCA_900114405.1_IMG-taxon_2654588176_annotated_assembly/GCA_900114405.1_IMG-taxon_2654588176_annotated_assembly_genomic.fna.gz)	GCA_900114405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/405/GCA_900114405.1_IMG-taxon_2654588176_annotated_assembly	GCA_900114405.1_IMG-taxon_2654588176_annotated_assembly_genomic.fna.gz	[GCF_900114405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/405/GCF_900114405.1_IMG-taxon_2654588176_annotated_assembly)	[GCF_900114405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/405/GCF_900114405.1_IMG-taxon_2654588176_annotated_assembly/GCF_900114405.1_IMG-taxon_2654588176_annotated_assembly_genomic.fna.gz)	GCF_900114405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/405/GCF_900114405.1_IMG-taxon_2654588176_annotated_assembly	GCF_900114405.1_IMG-taxon_2654588176_annotated_assembly_genomic.fna.gz
Sharpea azabuensis	KH1P5		2606217758	Illumina HiSeq	vpAllpaths v. r46652	232.053	99.06	2329465	2375	2298	88.59	0.37	1620	1229	1917	799	76.76	71	Sharpea azabuensis KH1P5 	PRJEB17445	SAMN04487835	322505	[GCA_900114425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/425/GCA_900114425.1_IMG-taxon_2606217758_annotated_assembly)	[GCA_900114425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/425/GCA_900114425.1_IMG-taxon_2606217758_annotated_assembly/GCA_900114425.1_IMG-taxon_2606217758_annotated_assembly_genomic.fna.gz)	GCA_900114425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/425/GCA_900114425.1_IMG-taxon_2606217758_annotated_assembly	GCA_900114425.1_IMG-taxon_2606217758_annotated_assembly_genomic.fna.gz	[GCF_900114425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/425/GCF_900114425.1_IMG-taxon_2606217758_annotated_assembly)	[GCF_900114425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/425/GCF_900114425.1_IMG-taxon_2606217758_annotated_assembly/GCF_900114425.1_IMG-taxon_2606217758_annotated_assembly_genomic.fna.gz)	GCF_900114425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/425/GCF_900114425.1_IMG-taxon_2606217758_annotated_assembly	GCF_900114425.1_IMG-taxon_2606217758_annotated_assembly_genomic.fna.gz
Streptococcus equinus	JB1		2593339156	Illumina HiSeq	vpAllpaths v. r46652	509.469	100	1967362	2021	1964	89.7	0.38	1409	1137	1666	757	78.48	28	Streptococcus equinus JB1 	PRJEB17456	SAMN02910290	1294274	[GCA_900114525.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/525/GCA_900114525.1_IMG-taxon_2593339156_annotated_assembly)	[GCA_900114525.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/525/GCA_900114525.1_IMG-taxon_2593339156_annotated_assembly/GCA_900114525.1_IMG-taxon_2593339156_annotated_assembly_genomic.fna.gz)	GCA_900114525.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/525/GCA_900114525.1_IMG-taxon_2593339156_annotated_assembly	GCA_900114525.1_IMG-taxon_2593339156_annotated_assembly_genomic.fna.gz	[GCF_900114525.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/525/GCF_900114525.1_IMG-taxon_2593339156_annotated_assembly)	[GCF_900114525.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/525/GCF_900114525.1_IMG-taxon_2593339156_annotated_assembly/GCF_900114525.1_IMG-taxon_2593339156_annotated_assembly_genomic.fna.gz)	GCF_900114525.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/525/GCF_900114525.1_IMG-taxon_2593339156_annotated_assembly	GCF_900114525.1_IMG-taxon_2593339156_annotated_assembly_genomic.fna.gz
Lactococcus garvieae	M79		2651870362	Illumina HiSeq	vpAllpaths v. r46652	621.947	100	2160162	2198	2122	88.21	0.39	1475	1145	1722	788	74.48	36	Lactococcus garvieae M79 	PRJEB17458	SAMN05216438	1363	[GCA_900114555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/555/GCA_900114555.1_IMG-taxon_2651870362_annotated_assembly)	[GCA_900114555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/555/GCA_900114555.1_IMG-taxon_2651870362_annotated_assembly/GCA_900114555.1_IMG-taxon_2651870362_annotated_assembly_genomic.fna.gz)	GCA_900114555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/555/GCA_900114555.1_IMG-taxon_2651870362_annotated_assembly	GCA_900114555.1_IMG-taxon_2651870362_annotated_assembly_genomic.fna.gz	[GCF_900114555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/555/GCF_900114555.1_IMG-taxon_2651870362_annotated_assembly)	[GCF_900114555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/555/GCF_900114555.1_IMG-taxon_2651870362_annotated_assembly/GCF_900114555.1_IMG-taxon_2651870362_annotated_assembly_genomic.fna.gz)	GCF_900114555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/555/GCF_900114555.1_IMG-taxon_2651870362_annotated_assembly	GCF_900114555.1_IMG-taxon_2651870362_annotated_assembly_genomic.fna.gz
Methanobrevibacter olleyae 	1H5-1P	DSM 16632	2593339150	Illumina HiSeq	vpAllpaths v. r46652	147.777	100	2122444	1854	1813	76.86	0.27	1230	991	1429	606	72.44	49	Methanobrevibacter olleyae  1H5-1P DSM 16632	PRJEB17460	SAMN02910297	294671	[GCA_900114585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/585/GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly)	[GCA_900114585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/585/GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly/GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly_genomic.fna.gz)	GCA_900114585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/585/GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly	GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly_genomic.fna.gz	[GCF_900114585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/585/GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly)	[GCF_900114585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/585/GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly/GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly_genomic.fna.gz)	GCF_900114585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/585/GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly	GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly_genomic.fna.gz
Erysipelatoclostridium innocuum	NLAE-zl-C381		2654588128	Illumina HiSeq	vpAllpaths v. r46652	574.917	99.53	4232065	4216	4144	85.42	0.44	2517	1916	3209	1161	72.18	56	Erysipelatoclostridium innocuum NLAE-zl-C381 	PRJEB17461	SAMN05216507	1522	[GCA_900114575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/575/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly)	[GCA_900114575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/575/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly_genomic.fna.gz)	GCA_900114575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/575/GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly	GCA_900114575.1_IMG-taxon_2654588128_annotated_assembly_genomic.fna.gz	[GCF_900114575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/575/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly)	[GCF_900114575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/575/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly_genomic.fna.gz)	GCF_900114575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/575/GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly	GCF_900114575.1_IMG-taxon_2654588128_annotated_assembly_genomic.fna.gz
Enterococcus mundtii	C2		2606217799	Illumina HiSeq	vpAllpaths v. r46652	507.26	99.63	3245556	3051	2974	85.81	0.38	1943	1504	2352	942	74.04	49	Enterococcus mundtii C2 	PRJEB17478	SAMN04487758	53346	[GCA_900114755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/755/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly)	[GCA_900114755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/755/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly_genomic.fna.gz)	GCA_900114755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/755/GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly	GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly_genomic.fna.gz	[GCF_900114755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/755/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly)	[GCF_900114755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/755/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly_genomic.fna.gz)	GCF_900114755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/755/GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly	GCF_900114755.1_IMG-taxon_2606217799_annotated_assembly_genomic.fna.gz
Bacteroides xylanisolvens	NLAE-zl-C202		2654588180	Illumina HiSeq	vpAllpaths v. r46652	503.603	99.46	5867942	4763	4674	90.14	0.42	2297	1600	3729	1187	71.26	93	Bacteroides xylanisolvens NLAE-zl-C202 	PRJEB17489	SAMN05216250	371601	[GCA_900114865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/865/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly)	[GCA_900114865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/865/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly_genomic.fna.gz)	GCA_900114865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/865/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly	GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly_genomic.fna.gz	[GCF_900114865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/865/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly)	[GCF_900114865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/865/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly_genomic.fna.gz)	GCF_900114865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/865/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly	GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly_genomic.fna.gz
Peptostreptococcus anaerobius 	C		2593339272	Illumina HiSeq	vpAllpaths v. r46652	359.549	100	2116810	2089	1992	88.11	0.36	1295	1039	1606	728	74.01	60	Peptostreptococcus anaerobius  C 	PRJEB17122	SAMN05660467	1261	[GCA_900115025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/025/GCA_900115025.1_IMG-taxon_2593339272_annotated_assembly)	[GCA_900115025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/025/GCA_900115025.1_IMG-taxon_2593339272_annotated_assembly/GCA_900115025.1_IMG-taxon_2593339272_annotated_assembly_genomic.fna.gz)	GCA_900115025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/025/GCA_900115025.1_IMG-taxon_2593339272_annotated_assembly	GCA_900115025.1_IMG-taxon_2593339272_annotated_assembly_genomic.fna.gz	[GCF_900115025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/025/GCF_900115025.1_IMG-taxon_2593339272_annotated_assembly)	[GCF_900115025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/025/GCF_900115025.1_IMG-taxon_2593339272_annotated_assembly/GCF_900115025.1_IMG-taxon_2593339272_annotated_assembly_genomic.fna.gz)	GCF_900115025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/025/GCF_900115025.1_IMG-taxon_2593339272_annotated_assembly	GCF_900115025.1_IMG-taxon_2593339272_annotated_assembly_genomic.fna.gz
Pseudobutyrivibrio sp.	UC12254		2606217737	Illumina HiSeq	vpAllpaths v. r46652	366.716	99.52	3371868	3103	3042	91.67	0.39	1907	1472	2473	903	76.41	32	Pseudobutyrivibrio sp. UC12254 	PRJEB17131	SAMN04487831	1798185	[GCA_900115215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/215/GCA_900115215.1_IMG-taxon_2606217737_annotated_assembly)	[GCA_900115215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/215/GCA_900115215.1_IMG-taxon_2606217737_annotated_assembly/GCA_900115215.1_IMG-taxon_2606217737_annotated_assembly_genomic.fna.gz)	GCA_900115215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/215/GCA_900115215.1_IMG-taxon_2606217737_annotated_assembly	GCA_900115215.1_IMG-taxon_2606217737_annotated_assembly_genomic.fna.gz	[GCF_900115215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/215/GCF_900115215.1_IMG-taxon_2606217737_annotated_assembly)	[GCF_900115215.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/215/GCF_900115215.1_IMG-taxon_2606217737_annotated_assembly/GCF_900115215.1_IMG-taxon_2606217737_annotated_assembly_genomic.fna.gz)	GCF_900115215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/215/GCF_900115215.1_IMG-taxon_2606217737_annotated_assembly	GCF_900115215.1_IMG-taxon_2606217737_annotated_assembly_genomic.fna.gz
Pseudobutyrivibrio sp.	JW11		2623620483	Illumina HiSeq	vpAllpaths v. r46652	433.391	99.52	3061734	2840	2773	91.75	0.39	1800	1412	2246	871	75.77	35	Pseudobutyrivibrio sp. JW11 	PRJEB17175	SAMN05216351	1855302	[GCA_900115355.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/355/GCA_900115355.1_IMG-taxon_2623620483_annotated_assembly)	[GCA_900115355.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/355/GCA_900115355.1_IMG-taxon_2623620483_annotated_assembly/GCA_900115355.1_IMG-taxon_2623620483_annotated_assembly_genomic.fna.gz)	GCA_900115355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/355/GCA_900115355.1_IMG-taxon_2623620483_annotated_assembly	GCA_900115355.1_IMG-taxon_2623620483_annotated_assembly_genomic.fna.gz	[GCF_900115355.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/355/GCF_900115355.1_IMG-taxon_2623620483_annotated_assembly)	[GCF_900115355.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/355/GCF_900115355.1_IMG-taxon_2623620483_annotated_assembly/GCF_900115355.1_IMG-taxon_2623620483_annotated_assembly_genomic.fna.gz)	GCF_900115355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/355/GCF_900115355.1_IMG-taxon_2623620483_annotated_assembly	GCF_900115355.1_IMG-taxon_2623620483_annotated_assembly_genomic.fna.gz
Eubacterium pyruvativorans	KHPC4		2654588172	Illumina HiSeq	vpAllpaths v. r46652	475.969	99.65	2275694	2076	2007	87.46	0.54	1409	1076	1683	794	79.09	75	Eubacterium pyruvativorans KHPC4 	PRJEB17186	SAMN05216515	155865	[GCA_900115385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/385/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly)	[GCA_900115385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/385/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna.gz)	GCA_900115385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/385/GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly	GCA_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna.gz	[GCF_900115385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/385/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly)	[GCF_900115385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/385/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna.gz)	GCF_900115385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/385/GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly	GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna.gz
Eubacterium callanderi	NLAE-zl-G225		2623620475	Illumina HiSeq	vpAllpaths v. r46652	587.042	99.3	4368996	4290	4206	89.68	0.47	2566	1820	3289	1229	73.66	24	Eubacterium callanderi NLAE-zl-G225 	PRJEB17213	SAMN04487888	53442	[GCA_900115415.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/415/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly)	[GCA_900115415.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/415/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly_genomic.fna.gz)	GCA_900115415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/415/GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly	GCA_900115415.1_IMG-taxon_2623620475_annotated_assembly_genomic.fna.gz	[GCF_900115415.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/415/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly)	[GCF_900115415.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/415/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly_genomic.fna.gz)	GCF_900115415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/415/GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly	GCF_900115415.1_IMG-taxon_2623620475_annotated_assembly_genomic.fna.gz
Acidaminococcus fermentans	pGA-4		2593339211	Illumina HiSeq	vpAllpaths v. r46652	623.091	99.98	2344887	2212	2136	89.01	0.56	1548	1193	1839	858	79.16	57	Acidaminococcus fermentans pGA-4 	PRJEB17225	SAMN02910455	905	[GCA_900115425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/425/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly)	[GCA_900115425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/425/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly_genomic.fna.gz)	GCA_900115425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/425/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly	GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly_genomic.fna.gz	[GCF_900115425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/425/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly)	[GCF_900115425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/425/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly_genomic.fna.gz)	GCF_900115425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/425/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly	GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly_genomic.fna.gz
Prevotella sp.	TF2-5		2623620458	Illumina HiSeq	vpAllpaths v. r46652	633.374	98.15	3511834	2991	2924	92.14	0.47	1472	1153	2166	770	67.64	23	Prevotella sp. TF2-5 	PRJEB17227	SAMN04487852	1761889	[GCA_900115435.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/435/GCA_900115435.1_IMG-taxon_2623620458_annotated_assembly)	[GCA_900115435.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/435/GCA_900115435.1_IMG-taxon_2623620458_annotated_assembly/GCA_900115435.1_IMG-taxon_2623620458_annotated_assembly_genomic.fna.gz)	GCA_900115435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/435/GCA_900115435.1_IMG-taxon_2623620458_annotated_assembly	GCA_900115435.1_IMG-taxon_2623620458_annotated_assembly_genomic.fna.gz	[GCF_900115435.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/435/GCF_900115435.1_IMG-taxon_2623620458_annotated_assembly)	[GCF_900115435.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/435/GCF_900115435.1_IMG-taxon_2623620458_annotated_assembly/GCF_900115435.1_IMG-taxon_2623620458_annotated_assembly_genomic.fna.gz)	GCF_900115435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/435/GCF_900115435.1_IMG-taxon_2623620458_annotated_assembly	GCF_900115435.1_IMG-taxon_2623620458_annotated_assembly_genomic.fna.gz
